annee,code,region,type,production
2013,84,Auvergne-Rhône-Alpes,Production_thermique_totale,1
2013,27,Bourgogne-Franche-Comté,Production_thermique_totale,1
2013,53,Bretagne,Production_thermique_totale,0
2013,24,Centre-Val de Loire,Production_thermique_totale,0
2013,44,Grand-Est,Production_thermique_totale,11
2013,32,Hauts-de-France,Production_thermique_totale,5
2013,11,Ile-de-France,Production_thermique_totale,3
2013,28,Normandie,Production_thermique_totale,5
2013,75,Nouvelle-Aquitaine,Production_thermique_totale,0
2013,76,Occitanie,Production_thermique_totale,0
2013,93,PACA,Production_thermique_totale,5
2013,52,Pays-de-la-Loire,Production_thermique_totale,6
2014,84,Auvergne-Rhône-Alpes,Production_thermique_totale,1
2014,27,Bourgogne-Franche-Comté,Production_thermique_totale,0
2014,53,Bretagne,Production_thermique_totale,0
2014,24,Centre-Val de Loire,Production_thermique_totale,0
2014,44,Grand-Est,Production_thermique_totale,6
2014,32,Hauts-de-France,Production_thermique_totale,4
2014,11,Ile-de-France,Production_thermique_totale,2
2014,28,Normandie,Production_thermique_totale,2
2014,75,Nouvelle-Aquitaine,Production_thermique_totale,0
2014,76,Occitanie,Production_thermique_totale,0
2014,93,PACA,Production_thermique_totale,3
2014,52,Pays-de-la-Loire,Production_thermique_totale,3
2015,84,Auvergne-Rhône-Alpes,Production_thermique_totale,2
2015,27,Bourgogne-Franche-Comté,Production_thermique_totale,0
2015,53,Bretagne,Production_thermique_totale,0
2015,24,Centre-Val de Loire,Production_thermique_totale,0
2015,44,Grand-Est,Production_thermique_totale,7
2015,32,Hauts-de-France,Production_thermique_totale,5
2015,11,Ile-de-France,Production_thermique_totale,2
2015,28,Normandie,Production_thermique_totale,3
2015,75,Nouvelle-Aquitaine,Production_thermique_totale,0
2015,76,Occitanie,Production_thermique_totale,0
2015,93,PACA,Production_thermique_totale,6
2015,52,Pays-de-la-Loire,Production_thermique_totale,3
2016,84,Auvergne-Rhône-Alpes,Production_thermique_totale,2
2016,27,Bourgogne-Franche-Comté,Production_thermique_totale,0
2016,53,Bretagne,Production_thermique_totale,0
2016,24,Centre-Val de Loire,Production_thermique_totale,0
2016,44,Grand-Est,Production_thermique_totale,10
2016,32,Hauts-de-France,Production_thermique_totale,8
2016,11,Ile-de-France,Production_thermique_totale,2
2016,28,Normandie,Production_thermique_totale,5
2016,75,Nouvelle-Aquitaine,Production_thermique_totale,0
2016,76,Occitanie,Production_thermique_totale,0
2016,93,PACA,Production_thermique_totale,9
2016,52,Pays-de-la-Loire,Production_thermique_totale,4
2017,84,Auvergne-Rhône-Alpes,Production_thermique_totale,2
2017,27,Bourgogne-Franche-Comté,Production_thermique_totale,0
2017,53,Bretagne,Production_thermique_totale,0
2017,24,Centre-Val de Loire,Production_thermique_totale,0
2017,44,Grand-Est,Production_thermique_totale,12
2017,32,Hauts-de-France,Production_thermique_totale,11
2017,11,Ile-de-France,Production_thermique_totale,2
2017,28,Normandie,Production_thermique_totale,5
2017,75,Nouvelle-Aquitaine,Production_thermique_totale,1
2017,76,Occitanie,Production_thermique_totale,0
2017,93,PACA,Production_thermique_totale,9
2017,52,Pays-de-la-Loire,Production_thermique_totale,6
2013,84,Auvergne-Rhône-Alpes,Production_hydraulique,32
2013,27,Bourgogne-Franche-Comté,Production_hydraulique,1
2013,53,Bretagne,Production_hydraulique,0
2013,24,Centre-Val de Loire,Production_hydraulique,0
2013,44,Grand-Est,Production_hydraulique,9
2013,32,Hauts-de-France,Production_hydraulique,0
2013,11,Ile-de-France,Production_hydraulique,0
2013,28,Normandie,Production_hydraulique,0
2013,75,Nouvelle-Aquitaine,Production_hydraulique,4
2013,76,Occitanie,Production_hydraulique,13
2013,93,PACA,Production_hydraulique,12
2013,52,Pays-de-la-Loire,Production_hydraulique,0
2014,84,Auvergne-Rhône-Alpes,Production_hydraulique,28
2014,27,Bourgogne-Franche-Comté,Production_hydraulique,0
2014,53,Bretagne,Production_hydraulique,0
2014,24,Centre-Val de Loire,Production_hydraulique,0
2014,44,Grand-Est,Production_hydraulique,8
2014,32,Hauts-de-France,Production_hydraulique,0
2014,11,Ile-de-France,Production_hydraulique,0
2014,28,Normandie,Production_hydraulique,0
2014,75,Nouvelle-Aquitaine,Production_hydraulique,4
2014,76,Occitanie,Production_hydraulique,12
2014,93,PACA,Production_hydraulique,11
2014,52,Pays-de-la-Loire,Production_hydraulique,0
2015,84,Auvergne-Rhône-Alpes,Production_hydraulique,26
2015,27,Bourgogne-Franche-Comté,Production_hydraulique,0
2015,53,Bretagne,Production_hydraulique,0
2015,24,Centre-Val de Loire,Production_hydraulique,0
2015,44,Grand-Est,Production_hydraulique,8
2015,32,Hauts-de-France,Production_hydraulique,0
2015,11,Ile-de-France,Production_hydraulique,0
2015,28,Normandie,Production_hydraulique,0
2015,75,Nouvelle-Aquitaine,Production_hydraulique,3
2015,76,Occitanie,Production_hydraulique,10
2015,93,PACA,Production_hydraulique,9
2015,52,Pays-de-la-Loire,Production_hydraulique,0
2016,84,Auvergne-Rhône-Alpes,Production_hydraulique,28
2016,27,Bourgogne-Franche-Comté,Production_hydraulique,0
2016,53,Bretagne,Production_hydraulique,0
2016,24,Centre-Val de Loire,Production_hydraulique,0
2016,44,Grand-Est,Production_hydraulique,9
2016,32,Hauts-de-France,Production_hydraulique,0
2016,11,Ile-de-France,Production_hydraulique,0
2016,28,Normandie,Production_hydraulique,0
2016,75,Nouvelle-Aquitaine,Production_hydraulique,3
2016,76,Occitanie,Production_hydraulique,11
2016,93,PACA,Production_hydraulique,9
2016,52,Pays-de-la-Loire,Production_hydraulique,0
2017,84,Auvergne-Rhône-Alpes,Production_hydraulique,23
2017,27,Bourgogne-Franche-Comté,Production_hydraulique,0
2017,53,Bretagne,Production_hydraulique,0
2017,24,Centre-Val de Loire,Production_hydraulique,0
2017,44,Grand-Est,Production_hydraulique,8
2017,32,Hauts-de-France,Production_hydraulique,0
2017,11,Ile-de-France,Production_hydraulique,0
2017,28,Normandie,Production_hydraulique,0
2017,75,Nouvelle-Aquitaine,Production_hydraulique,2
2017,76,Occitanie,Production_hydraulique,9
2017,93,PACA,Production_hydraulique,7
2017,52,Pays-de-la-Loire,Production_hydraulique,0
2013,84,Auvergne-Rhône-Alpes,Production_eolien,0
2013,27,Bourgogne-Franche-Comté,Production_eolien,0
2013,53,Bretagne,Production_eolien,1
2013,24,Centre-Val de Loire,Production_eolien,1
2013,44,Grand-Est,Production_eolien,3
2013,32,Hauts-de-France,Production_eolien,3
